id,verdict,confidence,notes,class,src_len,path_ok
03374e984b2f89d8accb983c044c8eee8c8e63b776d02fbd3373df6536ead97b,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,14135,True
02962c494fba364b11f5c5ecf30b07d0ea46612969a8a41938b9562463724cdc,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,9419,True
056c015b4a00ca35949aa21ac849dadde9dd2d992028e819dd0932eb258cfd2e,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,70479,True
06ec19b84e529bbd6d94c1c249d4e2feaffae9cb530545ae656c95e0aba57674,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,14129,True
079e301b4d28b789f58ac8eb1fc0dff513f563b2c602f6f79235e8ddf26c193a,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,37782,True
0bd2874582ea25ad7e03876c4925ab4b5fb9f1a9f1a74c6dfc2a095ec86bba58,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,23859,True
13bb90e7ac72a807096efebbd95bc3cbf53b1cd81b9213f7ed25d16ee0a90b9c,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,58076,True
16ea98ff490dcf242780206408bd3d80e79e4493685b5c6a133c96094cfa647a,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,58495,True
171e846d6ffe4bd748c25d941b90f512e26ee0416a1a24b2805f4af2470c8a59,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,201903,True
18ef34f44b45a0c2288a989be1cadb86eee940fe7559f4715319aed9b8dfbe2d,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,7594,True
326b4e1329fd4c4ccefc8c0dee183a2e7f68d89a5f4a48f4f0242666c4e23da7,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,18917,True
34ed294bab157b27abfbb52ac286d0ba3a84c3753b78a0dbf4622c3d2196e7b3,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,22078,True
350f1acdb109b0d6d75e4d44cd29938286e4ddb1b76189228e80b1d5d15ca70a,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,39759,True
3bf9aab5f877e3990666ec6a5b7b1fbfa4450ea177df7e17988cb37202f7ddfe,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,31109,True
3c6cd4ffd6086b486d3221b9a42f352f8bf1e8c432bcf919044999221461cadd,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,91585,True
3d743980b85280173da0cf0f2700e1a04fb9f0ae29b9bc7436471c1c4fde620e,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,59844,True
40699a992415d1bce4cca0d90a421184ae3d6e4c803d8994be442c2976810e2a,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,18573,True
3fe8cad3f6f05b27e84947d3c4d8e39932158feb963f74a307ae0a7c7edce8d5,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,48583,True
4413df29432b60951d3dd92e1fd471607ceab0acf8e3c1780a51ce882b14e320,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,65753,True
4857203fd39dd648cc1ab7a79efd2c7444b4c221badd1b4c942374957a198a64,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,10926,True
4976d0e23889523cbea6fc4269f1a5748e36189b809eca6f23220e1f7ca24141,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,10326,True
4bf9466e936c5875ca68a4c39e383505d4d4f9aacb1c9d96b3c8cd24ffc5c031,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,31135,True
4c5b302c6bc4aa7e6d11c6e03bd85d6e38cb837d1398f382a161eac796574556,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,64155,True
53a415e5e12528741d989a0c22b9e7a0e9032d2be846987de62d9b01b96d00d4,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,47002,True
56883311a65b492560ca5f25b2d311525538ba3a46f4b84cc2122ae9174183ae,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,13353,True
5767a3e88f0dd3d80dfc0405ace02306542807e845edf1694c7eaf6fbc68690e,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,15920,True
581d54772a1ec97b83a8a69c74d535816daa8cfcbf7f1d1576c2081392276825,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,6313,True
5b729a0148fa3c1c5b0d5a60ca4e6cc3f2d12ff06b50ca0c450fcf3740e420a9,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,13575,True
646e657632ebe794be3c53963a9567e9acb5ad6f624a474fd3d3e7cfd22d8a31,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,33985,True
66ba98f0beb1a1383f4e893f5c4e195a5c6c49fa4e8b4b96ef1c47638ae6b982,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,12168,True
6740cd21a8d029cc7da91f0656a0b5ebac06faaefbbe3f24131e48cee9708967,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,48754,True
71254e5842c9df71f3e2686a91b049199dddcd3fff7e8f48e1e5797d33985762,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,14484,True
75fcc3d3d46470acab33147db9fe498d3423a2a9e2a5b964644078334290bac0,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,54150,True
76ba978f4c619c076b395d6478fb83690314b8eb40de7bab24270a3040e63134,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,996,True
7d86d14b19f4f131deee784f383b2195b7f21c938a9a5f6fda446a3a6c344fdb,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,3881,True
7f1c6bd21935ed765f84670b3b600b42249805859e3d1c77d1381fecdde96698,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,15640,True
7f239fd471025513add982f2297a39306523d8123eb2a4d7454cfadb57f7aba5,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,54079,True
7f7df416589ff7650e352587cba0011dd6acca61728f9934db027663a800ba98,UNCERTAIN,0.42,s3:pattern_unclear,Class01:ExternalBug,13305,True
