id,bccc_path_fixed,sample_reason,review_pending,primary_class,n_pos,pragma,Class01:ExternalBug,Class02:GasException,Class03:MishandledException,Class04:Timestamp,Class06:UnusedReturn,Class08:CallToUnknown,Class09:DenialOfService,Class10:IntegerUO,Class11:Reentrancy,Class12:NonVulnerable,slither_status,slither_hits,agreement_per_class,disagreement_score
00333aa3376bcd06c4dbab0b5ae3a5b5ca46c8f64c297e119fa63f29455969a3,BCCC-SCsVul-2024/SourceCodes/CallToUnknown/00333aa3376bcd06c4dbab0b5ae3a5b5ca46c8f64c297e119fa63f29455969a3.sol,review_pending,1,CallToUnknown,3,^0.4.11,0,0,0,0,0,1,0,0,1,1,,,,-1
007ccde4ee5b3120fbaf87ac4f979bee1defb9365b49d60bdd5216d7da11ebad,BCCC-SCsVul-2024/SourceCodes/CallToUnknown/007ccde4ee5b3120fbaf87ac4f979bee1defb9365b49d60bdd5216d7da11ebad.sol,review_pending,1,CallToUnknown,3,^0.4.19,0,0,0,0,0,1,0,0,1,1,,,,-1
00da2433110f209c16e4f3fb55b73565fa166b5bc0daea25f20b96adace9ca88,BCCC-SCsVul-2024/SourceCodes/CallToUnknown/00da2433110f209c16e4f3fb55b73565fa166b5bc0daea25f20b96adace9ca88.sol,review_pending,1,CallToUnknown,3,^0.4.4,0,0,0,0,0,1,0,0,1,1,,,,-1
010fd936ffdd39680a6ee5c5c945e7b177a2a08be3fe476520748ab6a977a6d2,BCCC-SCsVul-2024/SourceCodes/CallToUnknown/010fd936ffdd39680a6ee5c5c945e7b177a2a08be3fe476520748ab6a977a6d2.sol,review_pending,1,CallToUnknown,3,^0.4.4,0,0,0,0,0,1,0,0,1,1,,,,-1
01c2258bf0f526e1df763790032e7ba30de056fe74beb63a3be4819502639594,BCCC-SCsVul-2024/SourceCodes/CallToUnknown/01c2258bf0f526e1df763790032e7ba30de056fe74beb63a3be4819502639594.sol,review_pending,1,CallToUnknown,3,^0.4.4,0,0,0,0,0,1,0,0,1,1,,,,-1
024276a72e21b882d97d8449a5d93390adf0b64007a941ab09e8d4c8fa15a974,BCCC-SCsVul-2024/SourceCodes/IntegerUO/024276a72e21b882d97d8449a5d93390adf0b64007a941ab09e8d4c8fa15a974.sol,review_pending,1,IntegerUO,2,^0.4.20,0,0,0,0,0,0,0,1,0,1,,,,-1
02486424d59ed744b32341246bedc391f8b7cc58ec08bd663331152b78f9afd4,BCCC-SCsVul-2024/SourceCodes/CallToUnknown/02486424d59ed744b32341246bedc391f8b7cc58ec08bd663331152b78f9afd4.sol,review_pending,1,CallToUnknown,3,^0.4.4,0,0,0,0,0,1,0,0,1,1,,,,-1
02f68146dae0f3cdd548ee9d263b03d8f7ce97e9931f369f1396681452c09f0f,BCCC-SCsVul-2024/SourceCodes/CallToUnknown/02f68146dae0f3cdd548ee9d263b03d8f7ce97e9931f369f1396681452c09f0f.sol,review_pending,1,CallToUnknown,3,^0.4.18,0,0,0,0,0,1,0,0,1,1,,,,-1
031d5e56ed8d020c0e3d6880e5f697454f148b45a8ac00b3455ac29c35c2642c,BCCC-SCsVul-2024/SourceCodes/CallToUnknown/031d5e56ed8d020c0e3d6880e5f697454f148b45a8ac00b3455ac29c35c2642c.sol,review_pending,1,CallToUnknown,3,^0.4.2,0,0,0,0,0,1,0,0,1,1,,,,-1
03259317e33921ee4bca0182b5fd0d928e05aecb6ed92083d3c9b22a4b5b20fc,BCCC-SCsVul-2024/SourceCodes/CallToUnknown/03259317e33921ee4bca0182b5fd0d928e05aecb6ed92083d3c9b22a4b5b20fc.sol,review_pending,1,CallToUnknown,3,^0.4.18,0,0,0,0,0,1,0,0,1,1,,,,-1
