class,tp,fp,fn,tn,precision,recall,f1,support,skipped
Class11:Reentrancy,434,2332,596,3824,0.1569,0.4214,0.2287,1030,60125
Class10:IntegerUO,415,493,2196,4082,0.4570,0.1589,0.2359,2611,60125
Class06:UnusedReturn,78,442,722,5944,0.1500,0.0975,0.1182,800,60125
Class01:ExternalBug,105,1475,403,5203,0.0665,0.2067,0.1006,508,60125
Class08:CallToUnknown,200,837,395,5754,0.1929,0.3361,0.2451,595,60125
Class03:MishandledException,305,2844,407,3630,0.0969,0.4284,0.1580,712,60125
Class02:GasException,83,338,768,5997,0.1971,0.0975,0.1305,851,60125
Class09:DenialOfService,11,1678,49,5448,0.0065,0.1833,0.0126,60,60125
Class04:Timestamp,150,1825,202,5009,0.0759,0.4261,0.1289,352,60125
Class12:NonVulnerable,0,0,3686,3500,0.0000,0.0000,0.0000,3686,60125
