edge_type,edge_name,delta_pos_CallToUnknown,delta_neg_CallToUnknown,n_pos_CallToUnknown,delta_pos_DenialOfService,delta_neg_DenialOfService,n_pos_DenialOfService,delta_pos_ExternalBug,delta_neg_ExternalBug,n_pos_ExternalBug,delta_pos_GasException,delta_neg_GasException,n_pos_GasException,delta_pos_IntegerUO,delta_neg_IntegerUO,n_pos_IntegerUO,delta_pos_MishandledException,delta_neg_MishandledException,n_pos_MishandledException,delta_pos_Reentrancy,delta_neg_Reentrancy,n_pos_Reentrancy,delta_pos_Timestamp,delta_neg_Timestamp,n_pos_Timestamp,delta_pos_TransactionOrderDependence,delta_neg_TransactionOrderDependence,n_pos_TransactionOrderDependence,delta_pos_UnusedReturn,delta_neg_UnusedReturn,n_pos_UnusedReturn
0,CALLS,0.0009200713247992098,-1.8979084416059777e-05,17,0.0008826851844787598,-0.00013331935042515397,1,-0.00018867055769078434,-0.0001936375192599371,15,-0.0005576675175689161,-0.0001783404004527256,23,0.0006068560760468245,-0.00013296035467647016,69,-5.664825494022807e-06,0.00027119662263430655,25,0.0019753300584852695,-0.0003233815368730575,13,-7.519125938415527e-05,-9.26349894143641e-05,4,8.278543100459501e-05,-9.030669752974063e-05,11,0.00036269426345825195,-0.0002631183888297528,4
1,READS,-6.414161180146039e-05,-2.7771371605922468e-05,17,-0.00024765729904174805,2.8996555556659587e-06,1,-0.0001470287679694593,-6.0232196119613945e-06,15,-5.615146437776275e-05,-4.114147941436386e-06,23,6.960051541682333e-05,2.0540450350381434e-05,69,-5.3846837545279413e-05,3.3368487493135035e-05,25,-0.0003694593906402588,-7.594187627546489e-05,13,0.00018095970153808594,3.078619920415804e-05,4,-4.046071626362391e-05,-6.541110451507848e-06,11,-1.852959394454956e-05,-3.590210326365195e-05,4
2,WRITES,-3.233902680221945e-05,6.069079518056242e-06,17,0.00020813941955566406,8.740437920096156e-07,1,0.00033163229818455875,9.304216655436903e-05,15,0.00012576191511470824,4.8080157284857705e-05,23,-6.537679291795939e-05,-8.42473455122672e-05,69,8.096695091808215e-05,-2.4207252863561735e-05,25,0.0001892264117486775,0.0001032142827170901,13,-0.0002523064613342285,-5.593383320956491e-05,4,9.885701001621783e-05,3.435183680267073e-05,11,5.491077899932861e-06,3.4729480830719694e-05,4
3,EMITS,1.577770092353603e-08,2.7562840898553986e-09,17,0.0,1.1037897262866636e-09,1,1.390775050680304e-08,-5.9604643443123e-10,15,-1.684479045138687e-08,6.067538471654643e-09,23,1.0797942984197562e-08,-1.7733613688619698e-08,69,-1.1920929132713809e-08,4.87674345350797e-09,25,2.063237758420655e-08,3.872618226097302e-09,13,-4.470348358154297e-08,2.1630717217391293e-09,4,2.709302115988521e-09,8.324670813797397e-11,11,-4.470348358154297e-08,1.2818203165565478e-09,4
4,INHERITS,-3.681463311977495e-08,-6.418696898435883e-07,17,-4.589557647705078e-06,-1.5027308108983561e-07,1,-1.4901161193847656e-07,1.4594623110042448e-07,15,-8.551970722692204e-07,3.530772119120229e-07,23,2.406645535302232e-06,3.6057115266885376e-06,69,4.1246414639317663e-07,4.77469313864276e-07,25,-7.932002858979104e-07,-7.179497174547578e-07,13,1.5944242477416992e-06,6.729556467632847e-09,4,4.0368601617046806e-07,6.909476724104024e-07,11,-5.513429641723633e-06,8.804503437431777e-08,4
5,CONTAINS,0.0011849964503198862,0.0001468572299927473,17,0.0018833279609680176,-0.00019878653984051198,1,0.0003407736658118665,-0.00021581555483862758,15,-0.00019093570881523192,-0.0008511142805218697,23,0.0004940754151903093,-0.001045401906594634,69,0.00015419363626278937,-0.0002611477393656969,25,0.002236240077763796,-5.331584816303803e-06,13,0.006680786609649658,-0.0001526266714790836,4,-5.829063229612075e-05,-0.0006668476853519678,11,-0.0012049227952957153,-0.00031657773070037365,4
6,CONTROL_FLOW,-2.776875135168666e-06,8.64474077388877e-06,17,-1.5974044799804688e-05,1.9606459318310954e-06,1,-6.298224093370663e-07,1.1838589671242516e-05,15,-1.1436317436164245e-05,6.418831162591232e-06,23,3.4402244637021795e-05,5.763055014540441e-06,69,1.2493132999225054e-06,1.0759541510196868e-05,25,-1.0522512638999615e-05,9.083899385586847e-06,13,-5.27501106262207e-06,2.5478582301730057e-06,4,2.682209014892578e-07,9.126087206823286e-06,11,1.7508864402770996e-06,9.926897064360674e-07,4
7,REVERSE_CONTAINS,0.005910047795623541,0.00025956478202715516,17,-0.0005144476890563965,-9.876047988655046e-05,1,0.001421000575646758,0.00022666717995889485,15,0.0012498653959482908,0.00011483236448839307,23,0.00010381962783867493,-0.0005262796184979379,69,-0.00019726634491235018,-0.0002050741168204695,25,0.004480020143091679,0.0004182860429864377,13,0.04629846662282944,-0.0004114054318051785,4,0.0005993057275190949,-0.00036233762511983514,11,-0.0010115951299667358,-0.0001990473101614043,4
8,CALL_ENTRY,-5.066394805908203e-07,-1.8863319795059397e-08,17,-5.960464477539063e-08,4.635916894812908e-08,1,-1.7881394143159923e-08,3.4059796649721363e-10,15,1.4253284774667918e-08,-7.459503592599503e-08,23,1.3821367161881426e-08,2.0196615935219597e-08,69,-3.6716460272145923e-07,2.709302115988521e-09,25,-5.181018991606834e-07,-6.162514409879805e-08,13,-1.4901161193847656e-08,1.4212183430117875e-07,4,1.8965113923741228e-08,-2.8886608660627644e-08,11,7.450580596923828e-09,4.0697795355981725e-08,4
9,RETURN_TO,8.183366844605189e-06,-4.534431809588568e-06,17,2.2351741790771484e-05,-1.8660354044186533e-06,1,5.125999678057269e-07,-9.026953193824738e-06,15,1.7286642105318606e-05,-7.2588286457175855e-06,23,-3.729868694790639e-05,-1.105887861285737e-07,69,-3.945827302231919e-06,-9.803970897337422e-06,25,1.5433017324539833e-05,-5.2342643357405905e-06,13,8.732080459594727e-06,-4.431092577306117e-07,4,-3.234906671423232e-06,-1.0167420441575814e-05,11,-4.157423973083496e-06,-3.6394883409229806e-06,4
