edge_type,edge_name,delta_pos_CallToUnknown,delta_neg_CallToUnknown,n_pos_CallToUnknown,delta_pos_DenialOfService,delta_neg_DenialOfService,n_pos_DenialOfService,delta_pos_ExternalBug,delta_neg_ExternalBug,n_pos_ExternalBug,delta_pos_GasException,delta_neg_GasException,n_pos_GasException,delta_pos_IntegerUO,delta_neg_IntegerUO,n_pos_IntegerUO,delta_pos_MishandledException,delta_neg_MishandledException,n_pos_MishandledException,delta_pos_Reentrancy,delta_neg_Reentrancy,n_pos_Reentrancy,delta_pos_Timestamp,delta_neg_Timestamp,n_pos_Timestamp,delta_pos_TransactionOrderDependence,delta_neg_TransactionOrderDependence,n_pos_TransactionOrderDependence,delta_pos_UnusedReturn,delta_neg_UnusedReturn,n_pos_UnusedReturn
0,CALLS,0.00022660060494672507,-0.00010748475324362516,22,-0.0003891289234161377,-0.00023751537082716823,1,0.00021632314019370824,-0.00022288966283667833,20,-0.0002194387634517625,-0.00024139975721482188,28,0.0005358198541216552,-0.00019606818386819214,73,-0.00016370415687561035,-0.00021568173542618752,21,-8.454789167444687e-06,-1.5663814338040538e-05,23,-0.0010401656618341804,-0.000537589134182781,12,-0.00011221352178836241,-0.0003336758236400783,23,-0.0001351020619040355,-0.00020551909983623773,11
1,READS,-6.9710340540041216e-06,-2.933661926363129e-05,22,0.00030094385147094727,-8.693981362739578e-05,1,0.00018633902072906494,-2.959652010758873e-05,20,-0.0004716228286270052,-0.0003962811315432191,28,-0.00039586485945619643,-0.0005062757409177721,73,-0.00030241269269026816,1.609042374184355e-05,21,-0.0003085110511165112,-5.777424303232692e-05,23,-0.0007048199768178165,-0.000378135999199003,12,-0.0012720207450911403,-5.71369455428794e-05,23,8.153102680807933e-05,-2.5444402126595378e-05,11
2,WRITES,8.879737833922263e-06,-0.00031233939807862043,22,0.0003355741500854492,-0.00028198599466122687,1,9.956210851669312e-05,-0.00042321241926401854,20,-0.0007268509943969548,-0.0008677667938172817,28,-0.0012639544438570738,-0.00070762331597507,73,-0.000530384830199182,-0.00037128524854779243,21,-0.0002410671004327014,-0.0004992655012756586,23,0.00010838484013220295,-0.0005468854797072709,12,-0.0010346348863095045,-0.0004183161654509604,23,-0.00013429739919956774,-0.0003734462661668658,11
3,EMITS,7.103925599949434e-05,1.8954779079649597e-05,22,-2.7477741241455078e-05,-2.4704628231120296e-05,1,4.7326087951660156e-05,-4.238486144458875e-05,20,-4.7340989112854004e-05,-4.997364158043638e-05,28,-8.751574205234647e-05,2.9343555070227012e-05,73,-5.314747613738291e-05,-8.706323569640517e-05,21,0.00010344515612814575,-1.0497657967789564e-05,23,-6.910165393492207e-05,-3.7315916415536776e-05,12,-5.479415995068848e-05,-4.5367218262981623e-05,23,-0.0001855519658420235,-1.3649779248225968e-05,11
4,INHERITS,-1.9913369442292606e-07,-2.8278719810259645e-07,22,4.172325134277344e-07,-1.0603037026157835e-07,1,-1.028180136586343e-07,-2.0513931531240814e-07,20,-3.831727113379202e-08,-1.8141297175588988e-07,28,-1.9800172879058664e-07,-3.3005485988724104e-07,73,-1.6746066933137627e-07,-1.602499111186262e-07,21,-1.6974365735222818e-07,-3.301827860013873e-07,23,-4.520018990206154e-07,-2.36120001773088e-07,12,-8.681546148636698e-08,-2.055013226254232e-07,23,-5.635347974930482e-07,-2.1910226166710345e-07,11
5,CONTAINS,-0.00011220032320125028,0.00012620404595509171,22,-0.00033280253410339355,-0.00023449530999641865,1,0.0004266515315975994,0.00010516602196730673,20,0.00029512387118302286,-0.00028823004686273634,28,0.0008503968128934503,0.00016552879242226481,73,-0.00019201493705622852,0.00015164045908022672,21,0.0002342022053198889,0.00014155109238345176,23,0.0010420704493299127,0.00018522849131841213,12,-0.0002305598318343982,8.148914275807329e-06,23,0.00015320289821829647,0.0003092807892244309,11
6,CONTROL_FLOW,-0.00022775748220738024,-0.0003258480574004352,22,-0.0014799833297729492,-0.0007616826915182173,1,-0.000787855708040297,-3.368068064446561e-05,20,0.0011952200438827276,-0.00010096359619637951,28,0.0026813324075192213,-0.0014698229497298598,73,0.0015299944207072258,5.058161696069874e-05,21,0.0019372961251065135,-0.0004168311133980751,23,-0.00457169720903039,0.00047461895155720413,12,0.003793776035308838,-0.0004498075577430427,23,0.0008159631979651749,-7.993377221282572e-05,11
7,REVERSE_CONTAINS,0.00038963693077676,0.0001266186882276088,22,8.630752563476562e-05,3.750689575099386e-05,1,0.00016341209993697703,0.00020215444965288043,20,0.0003500421007629484,0.00015771483595017344,28,0.00011309736146358773,0.00039582810131832957,73,0.00041443819645792246,0.00013656605733558536,21,0.0005006673745810986,0.00010273416410200298,23,-0.00020031382155139,9.180050255963579e-05,12,2.835885425156448e-05,0.000165248493431136,23,4.023855217383243e-05,0.00015181255002971739,11
8,CALL_ENTRY,-1.3939358723291662e-05,-6.800119990657549e-06,22,5.501508712768555e-05,4.736173195851734e-06,1,-3.148615405734745e-06,3.7176741898292676e-06,20,3.691230449476279e-05,-1.5803027508809464e-06,28,1.2778255609191547e-07,-1.5952455214574002e-05,73,2.242270056740381e-06,3.420773737161653e-06,21,2.1902114895056002e-05,-3.90275727113476e-06,23,0.00011004135012626648,3.237023702240549e-05,12,-5.373488420445938e-06,1.3018731806369033e-05,23,4.221092603984289e-05,1.171672806776769e-06,11
9,RETURN_TO,3.6981973039473814e-07,5.985101597616449e-05,22,-4.351139068603516e-06,-7.14986163075082e-06,1,-0.00019785761833190918,-5.7710956752998754e-05,20,0.000668076507281512,7.055830064928159e-05,28,-2.110310560965445e-05,-8.210058877011761e-05,73,-0.00013118839706294239,-1.9066910681431182e-05,21,4.4730695663020015e-05,9.619515913072973e-05,23,-0.00023765985679347068,0.0002405984268989414,12,-2.4917333121265983e-06,-6.66178748360835e-05,23,-8.502602577209473e-05,1.2332563528616447e-05,11
10,DEF_USE,-0.0007172999321483076,9.278274956159294e-05,22,3.165006637573242e-05,-7.117947825463489e-05,1,5.8203935623168945e-05,-4.340534360380843e-05,20,-2.0096344087505713e-05,3.437299528741278e-05,28,-0.0001425434893462807,-9.571063128532842e-05,73,0.00027050715289078653,-6.043677785783075e-05,21,0.00040982209611684084,-1.5646135580027476e-05,23,0.0014630258083343506,0.00013049144763499498,12,-1.3008066162001342e-05,-1.9314767996547744e-05,23,0.0001055300235748291,2.444271376589313e-05,11
